Absorber Layer,PCE,Voc,Jsc,FF
N/A,"{'value': 6.86, 'error': None, 'unit': '%'}",,"{'value': 15.3, 'error': None, 'unit': 'mA/cm2'}",
PbS,"{'value': 5.7, 'error': 0.3, 'unit': '%'}","{'value': 0.58, 'error': 0.04, 'unit': 'V'}","{'value': 19.7, 'error': 1.2, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': 3.0, 'unit': '%'}"
PbS,"{'value': 35.0, 'error': None, 'unit': '%'}",,"{'value': 80.0, 'error': None, 'unit': 'mA/cm2'}",
PbS quantum dot,"{'value': 10.62, 'error': None, 'unit': '%'}",,"{'value': 33.2, 'error': None, 'unit': 'mA/cm2'}",
SMA55-SMA109,,,"{'value': 2.0, 'error': None, 'unit': ''}",
SMA70-SMA76,,,"{'value': 2.0, 'error': None, 'unit': ''}",
SMA77-SMA90,,,"{'value': 2.0, 'error': None, 'unit': ''}",
P3HT:PCBM,"{'value': 4.18, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 11.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.6, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 3.78, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 11.34, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.56, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 3.41, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 11.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.52, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 3.07, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 11.03, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.47, 'error': None, 'unit': '%'}"
Organometallic halide perovskite-poly(2-ethyl-2-oxazoline) nanocomposite thin films,"{'value': 0.76, 'error': None, 'unit': '%'}",,,
MAPbI3 perovskite,"{'value': 22.1, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
????,,,"{'value': 2.0, 'error': None, 'unit': ''}",
TPD-3F/IT-4F,"{'value': 13.84, 'error': None, 'unit': '%'}","{'value': 0.911, 'error': None, 'unit': 'V'}","{'value': 20.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.0, 'error': None, 'unit': '%'}"
PBDTTT-C:PC71BM,"{'value': 7.46, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 15.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.63, 'error': None, 'unit': '%'}"
PTB7-Th:PC71BM,"{'value': 8.82, 'error': None, 'unit': '%'}","{'value': 0.79, 'error': None, 'unit': 'V'}","{'value': 18.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.62, 'error': None, 'unit': '%'}"
CoSe2,"{'value': 10.2, 'error': None, 'unit': '%'}","{'value': 0.753, 'error': None, 'unit': 'V'}","{'value': 18.55, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.0, 'error': None, 'unit': '%'}"
TiO2,"{'value': 7.66, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 15.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.0, 'error': None, 'unit': '%'}"
"2,4-bis[4-(N,N-diisobutylamino)-2,6-dihydroxyphenyl] squaraine (SQ)","{'value': 4.0, 'error': None, 'unit': '%'}",,"{'value': 10.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 43.0, 'error': None, 'unit': '%'}"
SQ:PC70BM,"{'value': 4.7, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 11.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.0, 'error': None, 'unit': '%'}"
CsFAMA,"{'value': 13.3, 'error': 1.0, 'unit': '%'}","{'value': 1.05, 'error': 0.02, 'unit': 'V'}","{'value': 19.5, 'error': 0.6, 'unit': 'mA/cm2'}","{'value': 63.4, 'error': 1.0, 'unit': '%'}"
"TRA, CRA, PyRA","{'value': 1.68, 'error': None, 'unit': '%'}","{'value': 0.51, 'error': None, 'unit': 'V'}","{'value': 5.65, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.49, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 17.8, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 13.8, 'error': 0.2, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 21.3, 'error': 0.2, 'unit': 'mA/cm2'}","{'value': 0.77, 'error': 0.01, 'unit': '%'}"
N/A,"{'value': 12.8, 'error': 0.2, 'unit': '%'}","{'value': 0.84, 'error': None, 'unit': 'V'}","{'value': 20.7, 'error': 0.2, 'unit': 'mA/cm2'}","{'value': 0.75, 'error': 0.02, 'unit': '%'}"
Sn1−xTaxO2 nanowalls bonded with graphene-like layers,"{'value': 8.38, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 8.38, 'error': None, 'unit': '%'}","{'value': 0.705, 'error': None, 'unit': 'V'}","{'value': 16.53, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.0, 'error': None, 'unit': '%'}"
N/A,"{'value': 6.15, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 14.17, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
PTB7-Th:PPor-2(1:1):PC71BM,"{'value': 16.9, 'error': 0.5, 'unit': '%'}","{'value': 0.77, 'error': 0.01, 'unit': 'V'}","{'value': 9.0, 'error': 0.2, 'unit': 'mA/cm2'}","{'value': 3.77, 'error': 0.26, 'unit': '%'}"
Cu2O,"{'value': 0.67, 'error': None, 'unit': '%'}","{'value': 0.34, 'error': None, 'unit': 'V'}","{'value': 4.15, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.47, 'error': None, 'unit': '%'}"
Cu2O,"{'value': 0.49, 'error': None, 'unit': '%'}","{'value': 0.34, 'error': None, 'unit': 'V'}","{'value': 3.08, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.47, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 2.65, 'error': None, 'unit': '%'}","{'value': 0.581, 'error': None, 'unit': 'V'}","{'value': 8.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 53.7, 'error': None, 'unit': '%'}"
Cs0.07Rb0.03FA0.765MA0.135PbI2.55Br0.45,"{'value': 22.5, 'error': None, 'unit': '%'}",,,
Perovskite,"{'value': 22.5, 'error': None, 'unit': '%'}","{'value': 1.75, 'error': None, 'unit': 'V'}",,
WS-9,"{'value': 9.04, 'error': None, 'unit': '%'}","{'value': 0.696, 'error': None, 'unit': 'V'}","{'value': 18.0, 'error': None, 'unit': 'mA/cm2'}",
N/A,"{'value': 7.74, 'error': None, 'unit': '%'}",,,
BDT(TffBTTT6)2/PC61BM,"{'value': 2.59, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 2.97, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.8, 'error': None, 'unit': '%'}"
