Absorber Layer,PCE,Voc,Jsc,FF
PTB7-Th:PC70BM,"{'value': 8.49, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 68.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
PTB7-Th:P(BDTSi–DFBT):PC70BM,"{'value': 10.05, 'error': None, 'unit': '%'}","{'value': 0.79, 'error': None, 'unit': 'V'}","{'value': 17.92, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.0, 'error': None, 'unit': '%'}"
N/A,"{'value': 6.86, 'error': None, 'unit': '%'}",,"{'value': 15.3, 'error': None, 'unit': 'mA/cm2'}",
CZTSSe,"{'value': 5.66, 'error': None, 'unit': '%'}","{'value': 57.8, 'error': None, 'unit': '%'}","{'value': 37.8, 'error': None, 'unit': '%'}",
Perovskite,"{'value': 22.5, 'error': None, 'unit': '%'}","{'value': 1.16, 'error': None, 'unit': 'V'}","{'value': 23.99, 'error': None, 'unit': 'mA/cm2'}","{'value': 80.84, 'error': None, 'unit': '%'}"
P3HT and PCBM blend with ZnPc-functionalized carbon nanomaterials,"{'value': 5.3, 'error': None, 'unit': '%'}","{'value': 0.62, 'error': None, 'unit': 'V'}","{'value': 12.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
PbS,"{'value': 5.7, 'error': 0.3, 'unit': '%'}","{'value': 0.58, 'error': 0.04, 'unit': 'V'}","{'value': 19.7, 'error': 1.2, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': 3.0, 'unit': '%'}"
PbS,"{'value': 35.0, 'error': None, 'unit': '%'}",,"{'value': 80.0, 'error': None, 'unit': 'mA/cm2'}",
PbS quantum dot,"{'value': 10.62, 'error': None, 'unit': '%'}",,"{'value': 33.2, 'error': None, 'unit': 'mA/cm2'}",
FAPbI3)0.85(MAPbBr3)0.15,"{'value': 16.0, 'error': None, 'unit': '%'}","{'value': 1.081, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
PbS/CdS/CdSe/ZnSe,"{'value': 4.15, 'error': None, 'unit': '%'}","{'value': 0.54, 'error': None, 'unit': 'V'}","{'value': 17.53, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.99999999999999, 'error': None, 'unit': '%'}"
SMA55-SMA109,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
SMA70-SMA76,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
SMA77-SMA90,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
Not provided,"{'value': 8.2, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 15.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
Not provided,"{'value': 7.9, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 15.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
LPP1,"{'value': 8.32, 'error': None, 'unit': '%'}","{'value': 0.736, 'error': None, 'unit': 'V'}","{'value': 43.17, 'error': None, 'unit': 'mA/cm2'}","{'value': 58.7, 'error': None, 'unit': '%'}"
LPP2,"{'value': 8.86, 'error': None, 'unit': '%'}","{'value': 0.743, 'error': None, 'unit': 'V'}","{'value': 51.47, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.6, 'error': None, 'unit': '%'}"
PTB7-Th,"{'value': 8.3, 'error': None, 'unit': '%'}","{'value': 0.783, 'error': None, 'unit': 'V'}","{'value': 15.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.0, 'error': None, 'unit': '%'}"
PDTP-DFBT,"{'value': 5.0, 'error': None, 'unit': '%'}","{'value': 0.704, 'error': None, 'unit': 'V'}","{'value': 12.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
PffBT4T-2OD,"{'value': 9.0, 'error': None, 'unit': '%'}","{'value': 0.738, 'error': None, 'unit': 'V'}","{'value': 18.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 4.18, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 11.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 3.78, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 11.34, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.00000000000001, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 3.41, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 11.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 52.0, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 3.07, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 11.03, 'error': None, 'unit': 'mA/cm2'}","{'value': 47.0, 'error': None, 'unit': '%'}"
rrP3HT:46c,"{'value': 1.57, 'error': None, 'unit': '%'}","{'value': 0.48, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.99999999999999, 'error': None, 'unit': '%'}"
rrP3HT:46b,"{'value': 0.3, 'error': None, 'unit': '%'}",,,
rrP3HT:47,"{'value': 0.36, 'error': None, 'unit': '%'}","{'value': 0.58, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 32.0, 'error': None, 'unit': '%'}"
