,Absorber Layer,PCE_value,PCE_error,Voc_value,Voc_error,Jsc_value,Jsc_error,FF_value,FF_error
0,PTB7-Th:P(BDTSi–DFBT):PC70BM,10.05,,0.79,,17.92,,71.0,"(71.0, None)"
1,Perovskite,22.5,,1.16,,23.99,,80.84,"(80.84, None)"
2,P3HT and PCBM blend with ZnPc-functionalized carbon nanomaterials,5.3,,0.62,,12.6,,68.0,"(68.0, None)"
3,PbS,5.7,0.3,0.58,0.04,19.7,1.2,50.0,"(50.0, 3.0)"
4,PbS/CdS/CdSe/ZnSe,4.15,,0.54,,17.53,,56.99999999999999,"(56.99999999999999, None)"
5,Not provided,8.2,,0.72,,15.6,,68.0,"(68.0, None)"
6,Not provided,7.9,,0.71,,15.2,,68.0,"(68.0, None)"
7,PTB7-Th,8.3,,0.783,,15.3,,69.0,"(69.0, None)"
8,PDTP-DFBT,5.0,,0.704,,12.4,,54.0,"(54.0, None)"
9,PffBT4T-2OD,9.0,,0.738,,18.0,,68.0,"(68.0, None)"
10,P3HT:PCBM,4.18,,0.59,,11.9,,60.0,"(60.0, None)"
11,P3HT:PCBM,3.78,,0.59,,11.34,,56.00000000000001,"(56.00000000000001, None)"
12,P3HT:PCBM,3.41,,0.59,,11.2,,52.0,"(52.0, None)"
13,P3HT:PCBM,3.07,,0.59,,11.03,,47.0,"(47.0, None)"
14,rrP3HT:46c,1.57,,0.48,,2.0,,56.99999999999999,"(56.99999999999999, None)"
15,rrP3HT:47,0.36,,0.58,,2.0,,32.0,"(32.0, None)"
16,rrP3HT:51,0.73,0.01,0.62,,2.0,,49.0,"(49.0, None)"
17,rrP3HT:52,1.4,,0.62,,2.0,,50.0,"(50.0, None)"
18,rrP3HT:53,2.54,,0.96,,2.0,,56.00000000000001,"(56.00000000000001, None)"
19,rrP3HT:55b,0.31,,0.52,,2.0,,31.0,"(31.0, None)"
20,75a,1.46,,0.63,,2.0,,39.0,"(39.0, None)"
21,75b,1.48,,0.69,,2.0,,43.0,"(43.0, None)"
22,PT1:80,2.23,,0.7,,2.0,,50.0,"(50.0, None)"
23,84a,0.4,,0.56,,2.0,,51.0,"(51.0, None)"
24,84b,0.8,,0.56,,2.0,,51.0,"(51.0, None)"
25,CH3NH3PbI3,7.61,,0.92,,19.03,,54.05,"(54.05, None)"
26,CH3NH3PbI3,17.04,,1.06,,23.25,,69.62,"(69.62, None)"
27,P1:[60]PCBM,5.0,0.1,0.59,0.002,14.1,0.3,60.0,"(60.0, 1.0)"
28,P1:[60]PCBM with 5% NDT,5.1,0.1,0.605,0.006,15.1,0.2,56.0,"(56.0, 1.0)"
29,"PM6, BTBR-2F, Y6",17.38,,0.859,,27.3,,74.11,"(74.11, None)"
30,TT80,6.7,,0.7974,,16.35,,50.3,"(50.3, None)"
31,TPD-3F/IT-4F,13.84,,0.911,,20.25,,76.0,"(76.0, None)"
32,(FAPbI3)0.85(MAPbBr3)0.15,18.84,,1.12,,22.43,,75.0,"(75.0, None)"
33,CsPbI2Br,12.05,,1.12,,14.94,,72.0,"(72.0, None)"
34,PBDTTT-C:PC71BM,7.46,,0.75,,15.8,,63.0,"(63.0, None)"
35,PTB7-Th:PC71BM,8.82,,0.79,,18.1,,62.0,"(62.0, None)"
