,Predicted_PCE,Predicted_FF,Predicted_Voc,Predicted_Jsc
0,10.052526,70.99833,0.79000247,17.918978
1,22.5003,80.84117,1.1600039,23.990622
2,5.2885637,67.99955,0.6200192,12.600231
3,5.700994,50.00073,0.58002824,19.69859
4,4.1534996,57.000572,0.54003555,17.529585
5,8.196934,67.99991,0.720009,15.600239
6,7.8983808,67.997345,0.7100125,15.197419
7,8.300266,69.00003,0.78324807,15.299378
8,5.004413,53.999355,0.70401657,12.401149
9,8.999377,68.0001,0.7380097,17.996346
10,4.179788,60.000328,0.590025,11.900463
11,3.7816226,56.0001,0.590025,11.340322
12,3.4109824,52.00179,0.590025,11.200109
13,3.070167,47.0009,0.590025,11.029798
14,1.5668739,57.000465,0.48004755,2.0000184
15,0.3597092,32.00032,0.58002824,2.0001848
16,0.73170334,49.00564,0.6200192,1.9999946
17,1.3992704,49.998703,0.6200192,1.999986
18,2.5385525,55.999382,0.95998526,2.0001118
19,0.31064016,30.999187,0.52004045,1.9999528
20,1.4461929,38.999626,0.6300172,1.9999263
21,1.4758867,43.00062,0.6900274,2.0000892
22,2.2254744,49.999573,0.7000117,2.0001318
23,0.8023895,51.000336,0.5600292,2.0001442
24,0.8023895,51.000336,0.5600292,2.0001442
25,7.611111,54.049522,0.9199874,19.029882
26,17.044039,69.621124,1.059973,23.248966
27,5.000658,59.99929,0.590025,14.100447
28,5.1023364,56.001614,0.60502136,15.100649
29,17.338198,74.097244,0.8599955,27.319214
30,6.85094,50.285854,0.79592365,16.318497
31,13.842533,76.00312,0.91046196,20.251116
32,18.85922,74.98213,1.1199586,22.428959
33,12.051584,72.00212,1.1199586,14.937605
34,7.4620414,63.004642,0.7500048,15.799612
35,8.832786,62.00062,0.79000247,18.098225
36,10.18863,72.99921,0.75293374,18.550365
37,7.6674347,70.997025,0.7100125,15.200241
38,9.470945,69.1353,0.63998854,21.400162
39,1.5462308,38.735546,0.66001713,6.4862685
40,2.8503144,48.40049,0.7000117,8.416091
41,4.705642,47.998993,0.84999484,11.499483
42,13.292921,63.40401,1.0500355,19.501753
43,1.6758586,49.0035,0.5100413,5.6494613
